gene,term
PV2T_000893,11983
PV2T_000894,11983
PV2T_000895,11983
PV2T_000896,11983
PV2T_000897,11983
PV2T_000898,11983
PV2T_000899,11983
PV2T_000900,11983
PV2T_000901,11983
PV2T_000902,11983
PV2T_000903,11983
PV2T_000904,11983
PV2T_000905,11983
PV2T_000906,11983
PV2T_000907,11983
PV2T_000908,11983
PV2T_000909,11983
PV2T_000910,11983
PV2T_000911,11983
PV2T_000912,11983
PV2T_000913,11983
PV2T_000914,11983
PV2T_000915,11983
PV2T_000916,11983
PV2T_000917,11983
PV2T_000918,11983
PV2T_000919,11983
PV2T_000920,11983
PV2T_000921,11983
PV2T_000922,11983
PV2T_000923,11983
PV2T_000924,11983
PV2T_000925,11983
PV2T_000926,11983
PV2T_000927,11983
PV2T_000928,11983
PV2T_000929,11983
PV2T_000930,11983
PV2T_000931,11983
PV2T_000932,11983
PV2T_000933,11983
PV2T_000934,11983
PV2T_000935,11983
PV2T_000936,11983
PV2T_000937,11983
PV2T_000938,11983
PV2T_000939,11983
PV2T_000940,11983
PV2T_000941,11983
PV2T_000942,11983
PV2T_000943,11983
PV2T_000944,11983
PV2T_000945,11983
PV2T_000946,11983
PV2T_000947,11983
PV2T_000948,11983
PV2T_000949,11983
PV2T_000950,11983
PV2T_000951,11983
PV2T_000952,11983
PV2T_000953,11983
PV2T_000954,11983
PV2T_000955,11983
PV2T_000956,11983
PV2T_000957,11983
PV2T_000958,11983
PV2T_000959,11983
PV2T_000960,11983
PV2T_000961,11983
PV2T_000962,11983
PV2T_000963,11983
PV2T_000964,11983
PV2T_000965,11983
PV2T_000966,11983
PV2T_000967,11983
PV2T_000968,11983
PV2T_000969,11983
PV2T_000970,11983
PV2T_000971,11983
PV2T_000972,11983
PV2T_000973,11983
PV2T_000974,11983
PV2T_000975,11983
PV2T_000976,11983
PV2T_000977,11983
PV2T_000978,11983
PV2T_000979,11983
PV2T_000980,11983
PV2T_000981,11983
PV2T_000982,11983
PV2T_000983,11983
PV2T_000984,11983
PV2T_000985,11983
PV2T_000986,11983
PV2T_000987,11983
PV2T_000988,11983
PV2T_000989,11983
PV2T_000990,11983
PV2T_000991,11983
PV2T_000992,11983
PV2T_000993,11983
PV2T_000994,11983
PV2T_000995,11983
PV2T_000996,11983
PV2T_000997,11983
PV2T_000998,11983
PV2T_000999,11983
PV2T_001000,11983
PV2T_001001,11983
PV2T_001002,11983
PV2T_001003,11983
PV2T_001004,11983
PV2T_001005,11983
PV2T_001006,11983
PV2T_001007,11983
PV2T_001008,11983
PV2T_001009,11983
PV2T_001010,11983
PV2T_001011,11983
PV2T_001012,11983
PV2T_001013,11983
PV2T_001014,11983
PV2T_001015,11983
PV2T_001016,11983
PV2T_001017,11983
PV2T_001018,11983
PV2T_001019,11983
PV2T_001020,11983
PV2T_001021,11983
PV2T_001022,11983
PV2T_001023,11983
PV2T_001024,11983
PV2T_001025,11983
PV2T_001026,11983
PV2T_001027,11983
PV2T_001028,11983
PV2T_001029,11983
PV2T_001030,11983
PV2T_001031,11983
PV2T_001032,11983
PV2T_001033,11983
PV2T_001034,11983
PV2T_001035,11983
PV2T_001036,11983
PV2T_001037,11983
PV2T_001038,11983
PV2T_001039,11983
PV2T_001040,11983
PV2T_001041,11983
PV2T_001042,11983
PV2T_001043,11983
PV2T_001044,11983
PV2T_001045,11983
PV2T_001046,11983
PV2T_001047,11983
PV2T_001048,11983
PV2T_001049,11983
PV2T_001050,11983
PV2T_001051,11983
PV2T_001052,11983
PV2T_001053,11983
PV2T_001054,11983
PV2T_001055,11983
PV2T_001056,11983
PV2T_001057,11983
PV2T_001058,11983
PV2T_001059,11983
PV2T_001060,11983
PV2T_001061,11983
PV2T_001062,11983
PV2T_001063,11983
PV2T_001064,11983
PV2T_001065,11983
PV2T_001066,11983
PV2T_001067,11983
PV2T_001068,11983
PV2T_001069,11983
PV2T_001070,11983
PV2T_001071,11983
PV2T_001072,11983
PV2T_001073,11983
PV2T_001074,11983
PV2T_001075,11983
PV2T_001076,11983
PV2T_001077,11983
PV2T_001078,11983
PV2T_001079,11983
PV2T_001080,11983
PV2T_001081,11983
PV2T_001082,11983
PV2T_001083,11983
PV2T_001084,11983
PV2T_001085,11983
PV2T_001086,11983
PV2T_001087,11983
PV2T_001088,11983
PV2T_001089,11983
PV2T_001090,11983
PV2T_001091,11983
PV2T_001092,11983
PV2T_001093,11983
PV2T_001094,11983
PV2T_001095,11983
PV2T_001096,11983
PV2T_001097,11983
PV2T_001098,11983
PV2T_001099,11983
PV2T_001100,11983
PV2T_001101,11983
PV2T_001102,11983
PV2T_001103,11983
PV2T_001104,11983
PV2T_001105,11983
PV2T_001106,11983
PV2T_001107,11983
PV2T_001108,11983
PV2T_001109,11983
PV2T_001110,11983
PV2T_001111,11983
PV2T_001112,11983
PV2T_001113,11983
PV2T_001114,11983
PV2T_001115,694003
PV2T_001116,694003
PV2T_001117,694003
PV2T_001118,694003
PV2T_001119,694003
PV2T_001120,694003
PV2T_001121,694003
PV2T_001122,694003
PV2T_001123,694003
PV2T_001124,694003
PV2T_001125,694003
PV2T_001126,694003
PV2T_001127,694003
PV2T_001128,694003
PV2T_001129,694003
PV2T_001130,694003
PV2T_001131,694003
PV2T_001132,694003
PV2T_001133,694003
PV2T_001134,694003
PV2T_001135,694003
PV2T_001136,694003
PV2T_001137,694003
PV2T_001138,694003
PV2T_001139,694003
PV2T_001140,694003
PV2T_001141,694003
PV2T_001142,694003
PV2T_001143,694003
PV2T_001144,694003
PV2T_001145,694003
PV2T_001146,694003
PV2T_001147,694003
PV2T_001148,694003
PV2T_001149,694003
PV2T_001150,694003
PV2T_001151,694003
PV2T_001152,694003
PV2T_001153,694003
PV2T_001154,694003
PV2T_001155,694003
PV2T_001156,694003
PV2T_001157,694003
PV2T_001158,694003
PV2T_001159,694003
PV2T_001160,694003
PV2T_001161,694003
PV2T_001162,694003
PV2T_001163,694003
PV2T_001164,694003
PV2T_001165,694003
PV2T_001166,694003
PV2T_001167,694003
PV2T_001168,694003
PV2T_001169,694003
PV2T_001170,694003
PV2T_001171,694003
PV2T_001172,694003
PV2T_001173,694003
PV2T_001174,694003
PV2T_001175,694003
PV2T_001176,694003
PV2T_001177,694003
PV2T_001178,694003
PV2T_001179,694003
PV2T_001180,694003
PV2T_001181,694003
PV2T_001182,694003
PV2T_001183,694003
PV2T_001184,694003
PV2T_001185,694003
PV2T_001186,694003
PV2T_001187,694003
PV2T_001188,11137
PV2T_001189,11137
PV2T_001190,11137
PV2T_001191,11137
PV2T_001192,11137
PV2T_001193,11137
PV2T_001194,11137
PV2T_001195,11137
PV2T_001196,11137
PV2T_001197,11137
PV2T_001198,11137
PV2T_001199,11137
PV2T_001200,11137
PV2T_001201,11137
PV2T_001202,11137
PV2T_001203,11137
PV2T_001204,11137
PV2T_001205,11137
PV2T_001206,11137
PV2T_001207,11137
PV2T_001208,11137
PV2T_001209,11137
PV2T_001210,11137
PV2T_001211,11137
PV2T_001212,11137
PV2T_001213,11137
PV2T_001214,11137
PV2T_001215,11137
PV2T_001216,11137
PV2T_001217,11137
PV2T_001218,11137
PV2T_001219,11137
PV2T_001220,11137
PV2T_001221,11137
PV2T_001222,11137
PV2T_001223,11137
PV2T_001224,138951
PV2T_001225,138951
PV2T_001226,138951
PV2T_001227,138951
PV2T_001228,138951
PV2T_001229,138951
PV2T_001230,138951
PV2T_001231,138951
PV2T_001232,138951
PV2T_001233,138951
PV2T_001234,138951
PV2T_001235,138951
PV2T_001236,138951
PV2T_001237,138951
PV2T_001238,138951
PV2T_001239,138951
PV2T_001240,138951
PV2T_001241,138951
PV2T_001242,138951
PV2T_001243,138951
PV2T_001244,138951
PV2T_001245,138951
PV2T_001246,138951
PV2T_001247,138951
PV2T_001248,138951
PV2T_001249,138951
PV2T_001250,138951
PV2T_001251,138951
PV2T_001252,138951
PV2T_001253,138951
PV2T_001254,138951
PV2T_001255,138951
PV2T_001256,138951
PV2T_001257,138951
PV2T_001258,138951
PV2T_001259,138951
PV2T_001260,138951
PV2T_001261,138951
PV2T_001262,138951
