         term        gene
883    129951 PV2T_012716
884    129951 PV2T_012717
885    129951 PV2T_012731
886    129951 PV2T_012732
887    129951 PV2T_012733
888    129951 PV2T_012734
889    129951 PV2T_012760
890    129951 PV2T_012761
891    129951 PV2T_012762
892    129951 PV2T_012763
893    129951 PV2T_012764
894    129951 PV2T_012765
895    129951 PV2T_012766
896    129951 PV2T_012767
897    129951 PV2T_012768
898    129951 PV2T_012784
899    129951 PV2T_012785
900    129951 PV2T_012811
901    129951 PV2T_012812
902    129951 PV2T_012813
903    129951 PV2T_012814
904    129951 PV2T_012815
905    129951 PV2T_012816
906    129951 PV2T_012817
907    129951 PV2T_012818
908    129951 PV2T_012833
909    129951 PV2T_012834
910    129951 PV2T_012835
911    129951 PV2T_012859
912    129951 PV2T_012860
913    129951 PV2T_012861
914    129951 PV2T_012862
915    129951 PV2T_012863
916    129951 PV2T_012864
917    129951 PV2T_012873
918    129951 PV2T_012876
919    129951 PV2T_012877
920    129951 PV2T_012904
921    129951 PV2T_012905
922    129951 PV2T_012906
923    129951 PV2T_012907
924    129951 PV2T_012908
925    129951 PV2T_012909
926    129951 PV2T_012910
927    129951 PV2T_012911
928    129951 PV2T_012931
929    129951 PV2T_012932
930    129951 PV2T_012939
931    129951 PV2T_012940
932    129951 PV2T_012956
933    129951 PV2T_012957
934    129951 PV2T_012958
935    129951 PV2T_012961
936    129951 PV2T_012966
937    129951 PV2T_012967
938    129951 PV2T_012981
939    129951 PV2T_012982
940    129951 PV2T_012983
941    129951 PV2T_012984
942    129951 PV2T_012999
943    129951 PV2T_013000
944    129951 PV2T_013001
945    129951 PV2T_013002
946    129951 PV2T_013003
947    129951 PV2T_013015
948    129951 PV2T_013016
949    129951 PV2T_013017
950    129951 PV2T_014506
951    129951 PV2T_014507
952    129951 PV2T_014508
953    129951 PV2T_014509
954    129951 PV2T_014510
955    129951 PV2T_014511
956    129951 PV2T_014512
957    129951 PV2T_014513
958    129951 PV2T_014514
959    129951 PV2T_014515
960    129951 PV2T_014516
961    129951 PV2T_014517
962    129951 PV2T_014518
963    129951 PV2T_014964
964    129951 PV2T_014967
965    129951 PV2T_014968
966    129951 PV2T_014969
967    129951 PV2T_014971
968    129951 PV2T_014972
969    129951 PV2T_014973
970    129951 PV2T_014975
971    129951 PV2T_014976
972    129951 PV2T_014977
973    129951 PV2T_014979
974    129951 PV2T_014980
975    129951 PV2T_014981
976    129951 PV2T_014982
977    129951 PV2T_014983
978    129951 PV2T_014984
979    129951 PV2T_014985
980    129951 PV2T_014987
981    129951 PV2T_014988
982    129951 PV2T_014989
983    129951 PV2T_014991
984    129951 PV2T_014992
985    129951 PV2T_014993
986    129951 PV2T_014995
987    129951 PV2T_014996
988    129951 PV2T_014997
989    129951 PV2T_014999
990     11103 PV2T_008917
991     11103 PV2T_008918
992     11103 PV2T_008919
993     11103 PV2T_008920
994     11103 PV2T_008921
995     11103 PV2T_008922
996     11103 PV2T_008923
997     11103 PV2T_008924
998     11103 PV2T_008925
999     11103 PV2T_008926
1000    11103 PV2T_008927
1001    11103 PV2T_008928
1002    11103 PV2T_008929
1003    11103 PV2T_008930
1004    11103 PV2T_008931
1005    11103 PV2T_008932
1006    11103 PV2T_008933
1007    11103 PV2T_008934
1008    11103 PV2T_008935
1009    11103 PV2T_008936
1010    11103 PV2T_008937
1011    11103 PV2T_008938
1012    11103 PV2T_008939
1013    11103 PV2T_008940
1014    11103 PV2T_008941
1015    11103 PV2T_008942
1016    11103 PV2T_008943
1017    11103 PV2T_008944
1018    11103 PV2T_008945
1019    11103 PV2T_008946
